R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
8,—,Ireland,Brian Kennedyqualified,Every Song Is A Cry For Love,79.0,9th,2006,semi-final
9,—,Cyprus,Annet Artani,Why Angels Cry,57.0,15th,2006,semi-final
10,—,Monaco,Séverine Ferrer,La Coco-dance,14.0,21st,2006,semi-final
11,—,North Macedonia,Elena Risteskaqualified,Ninanajna,76.0,10th,2006,semi-final
12,—,Poland,Ich Troje,Follow My Heart,70.0,11th,2006,semi-final
13,—,Russia,Dima Bilanqualified,Never Let You Go,217.0,3rd,2006,semi-final
14,—,Türkiye,Sibel Tüzünqualified,Superstar,91.0,8th,2006,semi-final
15,—,Ukraine,Tina Karolqualified,Show Me Your Love,146.0,7th,2006,semi-final
16,—,Finland,Lordiqualified,Hard Rock Hallelujah,292.0,1st,2006,semi-final
17,—,Netherlands,Treble,Amambanda,22.0,20th,2006,semi-final
18,—,Lithuania,LT Unitedqualified,We Are The Winners,163.0,5th,2006,semi-final
19,—,Portugal,Nonstop,Coisas De Nada,26.0,19th,2006,semi-final
20,—,Sweden,Carolaqualified,Invincible,214.0,4th,2006,semi-final
21,—,Estonia,Sandra,Through My Window,28.0,18th,2006,semi-final
22,—,Bosnia & Herzegovina,Hari Mata Hariqualified,Lejla,267.0,2nd,2006,semi-final
23,—,Iceland,Silvia Night,Congratulations,62.0,13th,2006,semi-final
24,—,Serbia & Montenegro,"Withdrew from the competition, but still voted",,,24th,2006,semi-final
1,—,Bosnia & Herzegovina,Marija Sestic,Rijeka Bez Imena,106.0,11th,2007,grand-final
2,—,Spain,NASH,I Love You Mi Vida,43.0,20th,2007,grand-final
3,—,Belarus,Dmitry Koldun,Work Your Magic,145.0,6th,2007,grand-final
4,—,Ireland,Dervish,They Can't Stop The Spring,5.0,24th,2007,grand-final
5,—,Finland,Hanna Pakarinen,Leave Me Alone,53.0,17th,2007,grand-final
6,—,North Macedonia,Karolina,Mojot Svet,73.0,14th,2007,grand-final
7,—,Slovenia,Alenka Gotar,Cvet Z Juga,66.0,15th,2007,grand-final
8,—,Hungary,Magdi Rúzsa,Unsubstantial Blues,128.0,9th,2007,grand-final
9,—,Lithuania,4Fun,Love Or Leave,28.0,21st,2007,grand-final
10,—,Greece,Sarbel,Yassou Maria,139.0,7th,2007,grand-final
11,—,Georgia,Sopho,Visionary Dream,97.0,12th,2007,grand-final
12,—,Sweden,The Ark,The Worrying Kind,51.0,18th,2007,grand-final
13,—,France,Les Fatals Picards,L'amour à La Française,19.0,22nd,2007,grand-final
14,—,Latvia,Bonaparti.lv,Questa Notte,54.0,16th,2007,grand-final
15,—,Russia,Serebro,Song # 1,207.0,3rd,2007,grand-final
16,—,Germany,Roger Cicero,Frauen Regieren Die Welt,49.0,19th,2007,grand-final
17,—,Serbia,Marija Šerifović,Molitva,268.0,1st,2007,grand-final
18,—,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,235.0,2nd,2007,grand-final
19,—,United Kingdom,Scooch,Flying The Flag (for You),19.0,22nd,2007,grand-final
20,—,Romania,Todomondo,"Liubi, Liubi, I Love You",84.0,13th,2007,grand-final
21,—,Bulgaria,Elitsa Todorova & Stoyan Yankulov,Water,157.0,5th,2007,grand-final
22,—,Türkiye,Kenan Dogulu,Shake It Up Shekerim,163.0,4th,2007,grand-final
23,—,Armenia,Hayko,Anytime You Need,138.0,8th,2007,grand-final
24,—,Moldova,Natalia Barbu,Fight,109.0,10th,2007,grand-final
1,—,Bulgaria,Elitsa Todorova & Stoyan Yankulovqualified,Water,146.0,6th,2007,semi-final
2,—,Israel,Teapacks,Push The Button,17.0,24th,2007,semi-final
3,—,Cyprus,Evridiki,"Comme Ci, Comme ça",65.0,15th,2007,semi-final
4,—,Belarus,Dmitry Koldunqualified,Work Your Magic,176.0,4th,2007,semi-final
5,—,Iceland,Eiríkur Hauksson,Valentine Lost,77.0,13th,2007,semi-final
6,—,Georgia,Sophoqualified,Visionary Dream,123.0,8th,2007,semi-final
7,—,Montenegro,Stevan Faddy,Ajde Kroci,33.0,22nd,2007,semi-final
8,—,Switzerland,DJ BoBo,Vampires Are Alive,40.0,20th,2007,semi-final
9,—,Moldova,Natalia Barbuqualified,Fight,91.0,10th,2007,semi-final
10,—,Netherlands,Edsilia Rombley,On Top Of The World,38.0,21st,2007,semi-final
11,—,Albania,Aida & Frederik Ndoci,Hear My Plea,49.0,17th,2007,semi-final
12,—,Denmark,DQ,Drama Queen,45.0,19th,2007,semi-final
13,—,Croatia,Dragonfly feat. Dado Topic,Vjerujem U Ljubav,54.0,16th,2007,semi-final
14,—,Poland,The Jet Set,Time To Party,75.0,14th,2007,semi-final
15,—,Serbia,Marija Šerifovićqualified,Molitva,298.0,1st,2007,semi-final
16,—,Czech Republic,Kabát,Malá Dáma,1.0,28th,2007,semi-final
17,—,Portugal,Sabrina,Dança Comigo (vem Ser Feliz),88.0,11th,2007,semi-final
18,—,North Macedonia,Karolinaqualified,Mojot Svet,97.0,9th,2007,semi-final
19,—,Norway,Guri Schanke,Ven A Bailar Conmigo,48.0,18th,2007,semi-final
20,—,Malta,Olivia Lewis,Vertigo,15.0,25th,2007,semi-final
21,—,Andorra,Anonymous,Salvem El Món,80.0,12th,2007,semi-final
22,—,Hungary,Magdi Rúzsaqualified,Unsubstantial Blues,224.0,2nd,2007,semi-final
23,—,Estonia,Gerli Padar,Partners In Crime,33.0,22nd,2007,semi-final
24,—,Belgium,The KMG's,Love Power,14.0,26th,2007,semi-final
25,—,Slovenia,Alenka Gotarqualified,Cvet Z Juga,140.0,7th,2007,semi-final
26,—,Türkiye,Kenan Doguluqualified,Shake It Up Shekerim,197.0,3rd,2007,semi-final
27,—,Austria,Eric Papilaya,Get A Life - Get Alive,4.0,27th,2007,semi-final
28,—,Latvia,Bonaparti.lvqualified,Questa Notte,168.0,5th,2007,semi-final
1,—,Montenegro,Stefan Filipović,Zauvijek Volim Te,23.0,14th,2008,first-semi-final
2,—,Israel,Boazqualified,The Fire In Your Eyes,104.0,5th,2008,first-semi-final
3,—,Estonia,Kreisiraadio,Leto Svet,8.0,18th,2008,first-semi-final
4,—,Moldova,Geta Burlacu,A Century Of Love,36.0,12th,2008,first-semi-final
5,—,San Marino,Miodio,Complice,5.0,19th,2008,first-semi-final
6,—,Belgium,Ishtar,O Julissi,16.0,17th,2008,first-semi-final
7,—,Azerbaijan,Elnur & Samirqualified,Day After Day,96.0,6th,2008,first-semi-final
8,—,Slovenia,Rebeka Dremelj,Vrag Naj Vzame,36.0,11th,2008,first-semi-final
9,—,Norway,Mariaqualified,Hold On Be Strong,106.0,4th,2008,first-semi-final
10,—,Poland,Isis Geequalified,For Life,42.0,10th,2008,first-semi-final
11,—,Ireland,Dustin the Turkey,Irelande Douze Pointe,22.0,15th,2008,first-semi-final
12,—,Andorra,Gisela,Casanova,22.0,16th,2008,first-semi-final
13,—,Bosnia & Herzegovina,Lakaqualified,Pokušaj,72.0,9th,2008,first-semi-final
14,—,Armenia,Sirushoqualified,"Qele, Qele",139.0,2nd,2008,first-semi-final
15,—,Netherlands,Hind,Your Heart Belongs To Me,27.0,13th,2008,first-semi-final
16,—,Finland,Teräsbetoniqualified,Missä Miehet Ratsastaa,79.0,8th,2008,first-semi-final
17,—,Romania,Nico & Vladqualified,Pe-o Margine De Lume,94.0,7th,2008,first-semi-final
18,—,Russia,Dima Bilanqualified,Believe,135.0,3rd,2008,first-semi-final
19,—,Greece,Kalomiraqualified,Secret Combination,156.0,1st,2008,first-semi-final
1,—,Iceland,Eurobandqualified,This Is My Life,68.0,8th,2008,second-semi-final
2,—,Sweden,Charlotte Perrelliqualified,Hero,54.0,10th,2008,second-semi-final
3,—,Türkiye,Mor ve Ötesiqualified,Deli,85.0,7th,2008,second-semi-final
4,—,Ukraine,Ani Lorakqualified,Shady Lady,152.0,1st,2008,second-semi-final
5,—,Lithuania,Jeronimas Milius,Nomads In The Night,30.0,16th,2008,second-semi-final
6,—,Albania,Olta Bokaqualified,Zemrën E Lamë Peng,67.0,9th,2008,second-semi-final
7,—,Switzerland,Paolo Meneguzzi,Era Stupendo,47.0,13th,2008,second-semi-final
8,—,Czech Republic,Tereza Kerndlová,Have Some Fun,9.0,18th,2008,second-semi-final
9,—,Belarus,Ruslan Alehno,Hasta La Vista,27.0,17th,2008,second-semi-final
10,—,Latvia,Pirates Of The Seaqualified,Wolves Of The Sea,86.0,6th,2008,second-semi-final
11,—,Croatia,Kraljevi Ulice & 75 Centsqualified,Romanca,112.0,4th,2008,second-semi-final
12,—,Bulgaria,Deep Zone & Balthazar,"DJ, Take Me Away",56.0,12th,2008,second-semi-final
13,—,Denmark,Simon Mathewqualified,All Night Long,112.0,3rd,2008,second-semi-final
14,—,Georgia,Diana Gurtskayaqualified,Peace Will Come,107.0,5th,2008,second-semi-final
15,—,Hungary,Csézy,Candlelight,6.0,19th,2008,second-semi-final
16,—,Malta,Morena,Vodka,38.0,14th,2008,second-semi-final
17,—,Cyprus,Evdokia Kadi,Femme Fatale,36.0,15th,2008,second-semi-final
18,—,North Macedonia,"Tamara, Vrčak & Adrijan",Let Me Love You,64.0,11th,2008,second-semi-final
19,—,Portugal,Vânia Fernandesqualified,Senhora Do Mar (Negras Águas),120.0,2nd,2008,second-semi-final
1,—,Romania,Nico & Vlad,Pe-o Margine De Lume,45.0,20th,2008,grand-final
2,—,United Kingdom,Andy Abraham,Even If,14.0,25th,2008,grand-final
3,—,Albania,Olta Boka,Zemrën E Lamë Peng,55.0,17th,2008,grand-final
4,—,Germany,No Angels,Disappear,14.0,23rd,2008,grand-final
5,—,Armenia,Sirusho,"Qele, Qele",199.0,4th,2008,grand-final
6,—,Bosnia & Herzegovina,Laka,Pokušaj,110.0,10th,2008,grand-final
7,—,Israel,Boaz,The Fire In Your Eyes,124.0,9th,2008,grand-final
8,—,Finland,Teräsbetoni,Missä Miehet Ratsastaa,35.0,22nd,2008,grand-final
9,—,Croatia,Kraljevi Ulice & 75 Cents,Romanca,44.0,21st,2008,grand-final
10,—,Poland,Isis Gee,For Life,14.0,24th,2008,grand-final
11,—,Iceland,Euroband,This Is My Life,64.0,14th,2008,grand-final
12,—,Türkiye,Mor ve Ötesi,Deli,138.0,7th,2008,grand-final
13,—,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),69.0,13th,2008,grand-final
14,—,Latvia,Pirates Of The Sea,Wolves Of The Sea,83.0,12th,2008,grand-final
15,—,Sweden,Charlotte Perrelli,Hero,47.0,18th,2008,grand-final
16,—,Denmark,Simon Mathew,All Night Long,60.0,15th,2008,grand-final
17,—,Georgia,Diana Gurtskaya,Peace Will Come,83.0,11th,2008,grand-final
18,—,Ukraine,Ani Lorak,Shady Lady,230.0,2nd,2008,grand-final
19,—,France,Sébastien Tellier,Divine,47.0,19th,2008,grand-final
20,—,Azerbaijan,Elnur & Samir,Day After Day,132.0,8th,2008,grand-final
21,—,Greece,Kalomira,Secret Combination,218.0,3rd,2008,grand-final
22,—,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,55.0,16th,2008,grand-final
23,—,Serbia,Jelena Tomašević feat. Bora Dugic,Oro,160.0,6th,2008,grand-final
24,—,Russia,Dima Bilan,Believe,272.0,1st,2008,grand-final
25,—,Norway,Maria,Hold On Be Strong,182.0,5th,2008,grand-final
1,—,Montenegro,Andrea Demirovic,Just Get Out of My Life,44.0,11th,2009,first-semi-final
2,—,Czech Republic,Gipsy.cz,Aven Romale,,18th,2009,first-semi-final
3,—,Belgium,Copycat,Copycat,1.0,17th,2009,first-semi-final
4,—,Belarus,Petr Elfimov,Eyes That Never Lie,25.0,13th,2009,first-semi-final
5,—,Sweden,Malena Ernmanqualified,La Voix,105.0,4th,2009,first-semi-final
6,—,Armenia,Inga & Anushqualified,Jan Jan,99.0,5th,2009,first-semi-final
7,—,Andorra,Susanne Georgi,La Teva Decisió (Get A Life),8.0,15th,2009,first-semi-final
8,—,Switzerland,Lovebugs,The Highest Heights,15.0,14th,2009,first-semi-final
9,—,Türkiye,Hadisequalified,Düm Tek Tek,172.0,2nd,2009,first-semi-final
10,—,Israel,Noa & Mira Awadqualified,There Must Be Another Way,75.0,7th,2009,first-semi-final
11,—,Bulgaria,Krassimir Avramov,Illusion,7.0,16th,2009,first-semi-final
12,—,Iceland,Yohannaqualified,Is It True?,174.0,1st,2009,first-semi-final
13,—,North Macedonia,Next Time,Neshto Shto Ke Ostane,45.0,10th,2009,first-semi-final
14,—,Romania,Elenaqualified,The Balkan Girls,67.0,9th,2009,first-semi-final
15,—,Finland,Waldo's Peoplequalified,Lose Control,42.0,12th,2009,first-semi-final
16,—,Portugal,Flor-de-lisqualified,Todas As Ruas Do Amor,70.0,8th,2009,first-semi-final
17,—,Malta,Chiaraqualified,What If We,86.0,6th,2009,first-semi-final
18,—,Bosnia & Herzegovina,Reginaqualified,Bistra Voda,125.0,3rd,2009,first-semi-final
1,—,Croatia,Igor Cukrov feat. Andreaqualified,Lijepa Tena,33.0,13th,2009,second-semi-final
2,—,Ireland,Sinéad Mulvey & Black Daisy,Et Cetera,52.0,11th,2009,second-semi-final
3,—,Latvia,Intars Busulis,Probka,7.0,19th,2009,second-semi-final
4,—,Serbia,Marko Kon & Milaan,Cipela,60.0,10th,2009,second-semi-final
5,—,Poland,Lidia Kopania,I Don't Wanna Leave,43.0,12th,2009,second-semi-final
6,—,Norway,Alexander Rybakqualified,Fairytale,201.0,1st,2009,second-semi-final
7,—,Cyprus,Christina Metaxa,Firefly,32.0,14th,2009,second-semi-final
8,—,Slovakia,Kamil Mikulčík & Nela Pocisková,Leť Tmou,8.0,18th,2009,second-semi-final
9,—,Denmark,Brinckqualified,Believe Again,69.0,8th,2009,second-semi-final
10,—,Slovenia,Quartissimo feat. Martina,Love Symphony,14.0,16th,2009,second-semi-final
11,—,Hungary,Zoli Ádok,Dance With Me,16.0,15th,2009,second-semi-final
12,—,Azerbaijan,AySel & Arashqualified,Always,180.0,2nd,2009,second-semi-final
13,—,Greece,Sakis Rouvasqualified,This Is Our Night,110.0,4th,2009,second-semi-final
14,—,Lithuania,Sasha Sonqualified,Love,66.0,9th,2009,second-semi-final
15,—,Moldova,Nelly Ciobanuqualified,Hora Din Moldova,106.0,5th,2009,second-semi-final
16,—,Albania,Kejsi Tolaqualified,Carry Me In Your Dreams,73.0,7th,2009,second-semi-final
17,—,Ukraine,Svetlana Lobodaqualified,Be my Valentine! (Anti-crisis Girl),80.0,6th,2009,second-semi-final
18,—,Estonia,Urban Symphonyqualified,Rändajad,115.0,3rd,2009,second-semi-final
19,—,Netherlands,The Toppers,Shine,11.0,17th,2009,second-semi-final
1,—,Lithuania,Sasha Son,Love,23.0,23rd,2009,grand-final
2,—,Israel,Noa & Mira Awad,There Must Be Another Way,53.0,16th,2009,grand-final
3,—,France,Patricia Kaas,Et S'il Fallait Le Faire,107.0,8th,2009,grand-final
4,—,Sweden,Malena Ernman,La Voix,33.0,21st,2009,grand-final
5,—,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,45.0,18th,2009,grand-final
6,—,Portugal,Flor-de-lis,Todas As Ruas Do Amor,57.0,15th,2009,grand-final
7,—,Iceland,Yohanna,Is It True?,218.0,2nd,2009,grand-final
8,—,Greece,Sakis Rouvas,This Is Our Night,120.0,7th,2009,grand-final
9,—,Armenia,Inga & Anush,Jan Jan,92.0,10th,2009,grand-final
10,—,Russia,Anastasia Prikhodko,Mamo,91.0,11th,2009,grand-final
11,—,Azerbaijan,AySel & Arash,Always,207.0,3rd,2009,grand-final
12,—,Bosnia & Herzegovina,Regina,Bistra Voda,106.0,9th,2009,grand-final
13,—,Moldova,Nelly Ciobanu,Hora Din Moldova,69.0,14th,2009,grand-final
14,—,Malta,Chiara,What If We,31.0,22nd,2009,grand-final
15,—,Estonia,Urban Symphony,Rändajad,129.0,6th,2009,grand-final
16,—,Denmark,Brinck,Believe Again,74.0,13th,2009,grand-final
17,—,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,35.0,20th,2009,grand-final
18,—,Türkiye,Hadise,Düm Tek Tek,177.0,4th,2009,grand-final
19,—,Albania,Kejsi Tola,Carry Me In Your Dreams,48.0,17th,2009,grand-final
20,—,Norway,Alexander Rybak,Fairytale,387.0,1st,2009,grand-final
21,—,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),76.0,12th,2009,grand-final
22,—,Romania,Elena,The Balkan Girls,40.0,19th,2009,grand-final
23,—,United Kingdom,Jade Ewen,It's My Time,173.0,5th,2009,grand-final
24,—,Finland,Waldo's People,Lose Control,22.0,25th,2009,grand-final
25,—,Spain,Soraya,La Noche Es Para Mí (The Night Is For Me),23.0,24th,2009,grand-final
1,—,Moldova,Sunstroke Project & Olia Tiraqualified,Run Away,52.0,10th,2010,first-semi-final
2,—,Russia,Peter Nalitch & Friendsqualified,Lost And Forgotten,74.0,7th,2010,first-semi-final
3,—,Estonia,Malcolm Lincoln,Siren,39.0,14th,2010,first-semi-final
4,—,Slovakia,Kristina Pelakova,Horehronie,24.0,16th,2010,first-semi-final
5,—,Finland,Kuunkuiskaajat,Työlki Ellää,49.0,11th,2010,first-semi-final
6,—,Latvia,Aisha,What For?,11.0,17th,2010,first-semi-final
7,—,Serbia,Milan Stankovićqualified,Ovo Je Balkan,79.0,5th,2010,first-semi-final
8,—,Bosnia & Herzegovina,Vukašin Brajićqualified,Thunder And Lightning,59.0,8th,2010,first-semi-final
9,—,Poland,Marcin Mroziński,Legenda,44.0,13th,2010,first-semi-final
10,—,Belgium,Tom Dicequalified,Me And My Guitar,167.0,1st,2010,first-semi-final
11,—,Malta,Thea Garrett,My Dream,45.0,12th,2010,first-semi-final
12,—,Albania,Juliana Pashaqualified,It's All About You,76.0,6th,2010,first-semi-final
13,—,Greece,Giorgos Alkaios & Friendsqualified,OPA,133.0,2nd,2010,first-semi-final
14,—,Portugal,Filipa Azevedoqualified,Há Dias Assim,89.0,4th,2010,first-semi-final
15,—,North Macedonia,Gjoko Taneski,Jas Ja Imam Silata,37.0,15th,2010,first-semi-final
16,—,Belarus,3+2qualified,Butterflies,59.0,9th,2010,first-semi-final
17,—,Iceland,Hera Björkqualified,Je Ne Sais Quoi,123.0,3rd,2010,first-semi-final
1,—,Lithuania,InCulto,Eastern European Funk,44.0,12th,2010,second-semi-final
2,—,Armenia,Eva Rivasqualified,Apricot Stone,83.0,6th,2010,second-semi-final
3,—,Israel,Harel Skaatqualified,Milim,71.0,8th,2010,second-semi-final
4,—,Denmark,Chanée & N'evergreenqualified,In A Moment Like This,101.0,5th,2010,second-semi-final
5,—,Switzerland,Michael von der Heide,Il Pleut de L'Or,2.0,17th,2010,second-semi-final
6,—,Sweden,Anna Bergendahl,This Is My Life,62.0,11th,2010,second-semi-final
7,—,Azerbaijan,Safuraqualified,Drip Drop,113.0,2nd,2010,second-semi-final
8,—,Ukraine,Alyoshaqualified,Sweet People,77.0,7th,2010,second-semi-final
9,—,Netherlands,Sieneke,Ik Ben Verliefd (Sha-la-lie),29.0,14th,2010,second-semi-final
10,—,Romania,Paula Seling & Oviqualified,Playing With Fire,104.0,4th,2010,second-semi-final
11,—,Slovenia,Ansambel Žlindra & Kalamari,Narodnozabavni Rock,6.0,16th,2010,second-semi-final
12,—,Ireland,Niamh Kavanaghqualified,It's For You,67.0,9th,2010,second-semi-final
13,—,Bulgaria,Miro,Angel Si Ti,19.0,15th,2010,second-semi-final
14,—,Cyprus,Jon Lilygreen & The Islandersqualified,Life Looks Better In Spring,67.0,10th,2010,second-semi-final
15,—,Croatia,Feminnem,Lako Je Sve,33.0,13th,2010,second-semi-final
16,—,Georgia,Sofia Nizharadze qualified,Shine,106.0,3rd,2010,second-semi-final
17,—,Türkiye,maNgaqualified,We Could Be The Same,118.0,1st,2010,second-semi-final
1,—,Azerbaijan,Safura,Drip Drop,145.0,5th,2010,grand-final
2,—,Spain,Daniel Diges,Algo Pequeñito (Something Tiny),68.0,15th,2010,grand-final
3,—,Norway,Didrik Solli-Tangen,My Heart Is Yours,35.0,20th,2010,grand-final
4,—,Moldova,Sunstroke Project & Olia Tira,Run Away,27.0,22nd,2010,grand-final
5,—,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,27.0,21st,2010,grand-final
6,—,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,51.0,17th,2010,grand-final
7,—,Belgium,Tom Dice,Me And My Guitar,143.0,6th,2010,grand-final
8,—,Serbia,Milan Stanković,Ovo Je Balkan,72.0,13th,2010,grand-final
9,—,Belarus,3+2,Butterflies,18.0,24th,2010,grand-final
10,—,Ireland,Niamh Kavanagh,It's For You,25.0,23rd,2010,grand-final
11,—,Greece,Giorgos Alkaios & Friends,OPA,140.0,8th,2010,grand-final
12,—,United Kingdom,Josh,That Sounds Good To Me,10.0,25th,2010,grand-final
13,—,Georgia,Sofia Nizharadze,Shine,136.0,9th,2010,grand-final
14,—,Türkiye,maNga,We Could Be The Same,170.0,2nd,2010,grand-final
15,—,Albania,Juliana Pasha,It's All About You,62.0,16th,2010,grand-final
16,—,Iceland,Hera Björk,Je Ne Sais Quoi,41.0,19th,2010,grand-final
17,—,Ukraine,Alyosha,Sweet People,108.0,10th,2010,grand-final
18,—,France,Jessy Matador,Allez Ola Olé,82.0,12th,2010,grand-final
19,—,Romania,Paula Seling & Ovi,Playing With Fire,162.0,3rd,2010,grand-final
20,—,Russia,Peter Nalitch & Friends,Lost And Forgotten,90.0,11th,2010,grand-final
21,—,Armenia,Eva Rivas,Apricot Stone,141.0,7th,2010,grand-final
22,—,Germany,Lena,Satellite,246.0,1st,2010,grand-final
23,—,Portugal,Filipa Azevedo,Há Dias Assim,43.0,18th,2010,grand-final
24,—,Israel,Harel Skaat,Milim,71.0,14th,2010,grand-final
25,—,Denmark,Chanée & N'evergreen,In A Moment Like This,149.0,4th,2010,grand-final
1,—,Poland,Magdalena Tul,Jestem,18.0,19th,2011,first-semi-final
2,—,Norway,Stella Mwangi,Haba Haba,30.0,17th,2011,first-semi-final
3,—,Albania,Aurela Gaçe,Feel The Passion,47.0,14th,2011,first-semi-final
4,—,Armenia,Emmy,Boom Boom,54.0,12th,2011,first-semi-final
5,—,Türkiye,Yüksek Sadakat,Live It Up,47.0,13th,2011,first-semi-final
6,—,Serbia,Ninaqualified,Čaroban,67.0,8th,2011,first-semi-final
7,—,Russia,Alexej Vorobjovqualified,Get You,64.0,9th,2011,first-semi-final
8,—,Switzerland,Anna Rossinelliqualified,In Love For A While,55.0,10th,2011,first-semi-final
9,—,Georgia,Eldrinequalified,One More Day,74.0,6th,2011,first-semi-final
10,—,Finland,Paradise Oskarqualified,Da Da Dam,103.0,3rd,2011,first-semi-final
11,—,Malta,Glen Vella,One Life,54.0,11th,2011,first-semi-final
12,—,San Marino,Senit,Stand By,34.0,16th,2011,first-semi-final
13,—,Croatia,Daria,Celebrate,41.0,15th,2011,first-semi-final
14,—,Iceland,Sjonni's Friendsqualified,Coming Home,100.0,4th,2011,first-semi-final
15,—,Hungary,Kati Wolfqualified,What About My Dreams?,72.0,7th,2011,first-semi-final
16,—,Portugal,Homens Da Luta,Luta É Alegria,22.0,18th,2011,first-semi-final
17,—,Lithuania,Evelina Sašenkoqualified,C'est Ma Vie,81.0,5th,2011,first-semi-final
18,—,Azerbaijan,Ell/Nikkiqualified,Running Scared,122.0,2nd,2011,first-semi-final
19,—,Greece,Loucas Yiorkas feat. Stereo Mikequalified,Watch My Dance,133.0,1st,2011,first-semi-final
1,—,Bosnia & Herzegovina,Dino Merlinqualified,Love In Rewind,109.0,5th,2011,second-semi-final
2,—,Austria,Nadine Beilerqualified,The Secret Is Love,69.0,7th,2011,second-semi-final
3,—,Netherlands,3JS,Never Alone,13.0,19th,2011,second-semi-final
4,—,Belgium,Witloof Bay,With Love Baby,53.0,11th,2011,second-semi-final
5,—,Slovakia,TWiiNS,I'm Still Alive,48.0,13th,2011,second-semi-final
6,—,Ukraine,Mika Newtonqualified,Angel,81.0,6th,2011,second-semi-final
7,—,Moldova,Zdob și Zdubqualified,So Lucky,54.0,10th,2011,second-semi-final
8,—,Sweden,Eric Saadequalified,Popular,155.0,1st,2011,second-semi-final
9,—,Cyprus,Christos Mylordos,San Aggelos S’Agapisa,16.0,18th,2011,second-semi-final
10,—,Bulgaria,Poli Genova,Na Inat,48.0,12th,2011,second-semi-final
11,—,North Macedonia,Vlatko Ilievski,Rusinka,36.0,16th,2011,second-semi-final
12,—,Israel,Dana International,Ding Dong,38.0,15th,2011,second-semi-final
13,—,Slovenia,Maja Keucqualified,No One,112.0,3rd,2011,second-semi-final
14,—,Romania,Hotel FMqualified,Change,111.0,4th,2011,second-semi-final
15,—,Estonia,Getter Jaaniqualified,Rockefeller Street,60.0,9th,2011,second-semi-final
16,—,Belarus,Anastasiya Vinnikova,I Love Belarus,45.0,14th,2011,second-semi-final
17,—,Latvia,Musiqq,Angel In Disguise,25.0,17th,2011,second-semi-final
18,—,Denmark,A Friend In Londonqualified,New Tomorrow,135.0,2nd,2011,second-semi-final
19,—,Ireland,Jedwardqualified,Lipstick,68.0,8th,2011,second-semi-final
1,—,Finland,Paradise Oskar,Da Da Dam,57.0,21st,2011,grand-final
2,—,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,125.0,6th,2011,grand-final
3,—,Denmark,A Friend In London,New Tomorrow,134.0,5th,2011,grand-final
4,—,Lithuania,Evelina Sašenko,C'est Ma Vie,63.0,19th,2011,grand-final
5,—,Hungary,Kati Wolf,What About My Dreams?,53.0,22nd,2011,grand-final
6,—,Ireland,Jedward,Lipstick,119.0,8th,2011,grand-final
7,—,Sweden,Eric Saade,Popular,185.0,3rd,2011,grand-final
8,—,Estonia,Getter Jaani,Rockefeller Street,44.0,24th,2011,grand-final
9,—,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,120.0,7th,2011,grand-final
10,—,Russia,Alexej Vorobjov,Get You,77.0,16th,2011,grand-final
11,—,France,Amaury Vassili,Sognu,82.0,15th,2011,grand-final
12,—,Italy,Raphael Gualazzi,Madness Of Love,189.0,2nd,2011,grand-final
13,—,Switzerland,Anna Rossinelli,In Love For A While,19.0,25th,2011,grand-final
14,—,United Kingdom,Blue,I Can,100.0,11th,2011,grand-final
15,—,Moldova,Zdob și Zdub,So Lucky,97.0,12th,2011,grand-final
16,—,Germany,Lena,Taken By A Stranger,107.0,10th,2011,grand-final
17,—,Romania,Hotel FM,Change,77.0,17th,2011,grand-final
18,—,Austria,Nadine Beiler,The Secret Is Love,64.0,18th,2011,grand-final
19,—,Azerbaijan,Ell/Nikki,Running Scared,221.0,1st,2011,grand-final
20,—,Slovenia,Maja Keuc,No One,96.0,13th,2011,grand-final
21,—,Iceland,Sjonni's Friends,Coming Home,61.0,20th,2011,grand-final
22,—,Spain,Lucía Pérez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,50.0,23rd,2011,grand-final
23,—,Ukraine,Mika Newton,Angel,159.0,4th,2011,grand-final
24,—,Serbia,Nina,Čaroban,85.0,14th,2011,grand-final
25,—,Georgia,Eldrine,One More Day,110.0,9th,2011,grand-final
1,—,Montenegro,Rambo Amadeus,Euro Neuro,20.0,15th,2012,first-semi-final
2,—,Iceland,Greta Salóme & Jónsiqualified,Never Forget,75.0,8th,2012,first-semi-final
3,—,Greece,Eleftheria Eleftheriouqualified,Aphrodisiac,116.0,4th,2012,first-semi-final
4,—,Latvia,Anmary,Beautiful Song,17.0,16th,2012,first-semi-final
5,—,Albania,Rona Nishliuqualified,Suus,146.0,2nd,2012,first-semi-final
6,—,Romania,Mandingaqualified,Zaleilah,120.0,3rd,2012,first-semi-final
7,—,Switzerland,Sinplus,Unbreakable,45.0,11th,2012,first-semi-final
